N_base,parameter,ST_Tcloud,ST_M_final
64,N_eff,0.4150,0.0000
64,beta,0.5120,0.0000
64,Tc_K,0.2310,0.0000
64,dG_ads,0.0780,0.0000
64,a_s,0.0650,0.8320
64,I_M,0.4420,0.0000
64,eta_eff,0.0000,0.0000
64,k_ext,0.0000,0.1580
128,N_eff,0.4480,0.0000
128,beta,0.5390,0.0000
128,Tc_K,0.2620,0.0000
128,dG_ads,0.0890,0.0000
128,a_s,0.0740,0.8760
128,I_M,0.4780,0.0000
128,eta_eff,0.0000,0.0000
128,k_ext,0.0000,0.1390
256,N_eff,0.4650,0.0000
256,beta,0.5510,0.0000
256,Tc_K,0.2760,0.0000
256,dG_ads,0.0960,0.0000
256,a_s,0.0790,0.9010
256,I_M,0.4960,0.0000
256,eta_eff,0.0000,0.0000
256,k_ext,0.0000,0.1260
512,N_eff,0.4730,0.0000
512,beta,0.5578,0.0000
512,Tc_K,0.2837,0.0000
512,dG_ads,0.1001,0.0000
512,a_s,0.0822,0.9146
512,I_M,0.5079,0.0000
512,eta_eff,0.0000,0.0000
512,k_ext,0.0000,0.1185
